Stock A,Stock B,Correlation,Lag,Category
SHRIRAMFIN.NS,BAJAJHLDNG.NS,0.6142849702641077,10,Positive
SHRIRAMFIN.NS,CHOLAFIN.NS,0.7364698533963786,-14,Positive
SHRIRAMFIN.NS,BAJAJFINSV.NS,0.5553942729736955,1,Positive
SHRIRAMFIN.NS,BAJFINANCE.NS,0.26768610330816117,-1,No Correlation
SHRIRAMFIN.NS,INDUSINDBK.NS,-0.6333123506984426,24,Negative
SHRIRAMFIN.NS,HINDALCO.NS,0.6073872618529434,-17,Positive
SHRIRAMFIN.NS,COALINDIA.NS,0.6241632073865433,-24,Positive
SHRIRAMFIN.NS,HDFCBANK.NS,0.7142222127815114,1,Positive
SHRIRAMFIN.NS,SUNPHARMA.NS,0.883234952466854,14,Positive
SHRIRAMFIN.NS,ZOMATO.NS,0.8561889071942841,3,Positive
SHRIRAMFIN.NS,AXISBANK.NS,0.6233729982890899,-23,Positive
SHRIRAMFIN.NS,JSWSTEEL.NS,0.7811503784252741,-1,Positive
SHRIRAMFIN.NS,ICICIGI.NS,0.8872106331576901,1,Positive
SHRIRAMFIN.NS,NAUKRI.NS,0.7952368779658995,17,Positive
SHRIRAMFIN.NS,NESTLEIND.NS,-0.3821205084181359,24,No Correlation
SHRIRAMFIN.NS,RELIANCE.NS,-0.44299708069252247,24,No Correlation
SHRIRAMFIN.NS,INDIGO.NS,0.7533834586466165,-3,Positive
SHRIRAMFIN.NS,BHARTIARTL.NS,0.7481521618066649,13,Positive
SHRIRAMFIN.NS,ICICIBANK.NS,0.7610238170868001,17,Positive
SHRIRAMFIN.NS,WIPRO.NS,0.5668455197923057,24,Positive
SHRIRAMFIN.NS,POWERGRID.NS,0.8001084077212305,-24,Positive
SHRIRAMFIN.NS,TITAN.NS,-0.17881909967295975,-24,No Correlation
SHRIRAMFIN.NS,ATGL.NS,-0.6792086483474182,24,Negative
SHRIRAMFIN.NS,SHREECEM.NS,-0.2943330663769634,21,No Correlation
SHRIRAMFIN.NS,ADANIPORTS.NS,0.6269103283169262,-24,Positive
SHRIRAMFIN.NS,SBILIFE.NS,0.6816067797357748,-18,Positive
SHRIRAMFIN.NS,DRREDDY.NS,0.602704347384395,4,Positive
SHRIRAMFIN.NS,TATACONSUM.NS,-0.34723329881319187,24,No Correlation
SHRIRAMFIN.NS,INFY.NS,0.7684781817834773,6,Positive
SHRIRAMFIN.NS,BRITANNIA.NS,0.799184125163211,-23,Positive
SHRIRAMFIN.NS,ZYDUSLIFE.NS,0.6894104465670823,-24,Positive
SHRIRAMFIN.NS,ADANIENT.NS,-0.46534843307446044,24,No Correlation
SHRIRAMFIN.NS,HAL.NS,0.6163349705897209,-24,Positive
SHRIRAMFIN.NS,ADANIENSOL.NS,-0.44323966646667123,23,No Correlation
SHRIRAMFIN.NS,LODHA.NS,-0.2745745230586786,24,No Correlation
SHRIRAMFIN.NS,TCS.NS,0.6717249463197981,-10,Positive
SHRIRAMFIN.NS,JINDALSTEL.NS,0.4080676860607365,-23,No Correlation
SHRIRAMFIN.NS,ITC.NS,0.8281505310047175,-13,Positive
SHRIRAMFIN.NS,TATASTEEL.NS,-0.5908774613536583,24,Negative
SHRIRAMFIN.NS,HINDUNILVR.NS,0.8637874458649215,-19,Positive
SHRIRAMFIN.NS,HDFCLIFE.NS,0.7800770439230376,-5,Positive
SHRIRAMFIN.NS,BANKBARODA.NS,-0.5434751023760556,21,Negative
SHRIRAMFIN.NS,PFC.NS,0.7054869641247131,-19,Positive
SHRIRAMFIN.NS,DMART.NS,0.5354709228824275,-24,Positive
SHRIRAMFIN.NS,SBIN.NS,0.3616224130458032,-24,No Correlation
SHRIRAMFIN.NS,GODREJCP.NS,0.7096929332805629,-24,Positive
SHRIRAMFIN.NS,UNITDSPR.NS,0.8269179032245556,3,Positive
SHRIRAMFIN.NS,UNIONBANK.NS,-0.7231959929766365,23,Negative
SHRIRAMFIN.NS,KOTAKBANK.NS,0.44146250460103503,-1,No Correlation
SHRIRAMFIN.NS,ADANIPOWER.NS,0.4675485508176078,-24,No Correlation
SHRIRAMFIN.NS,BOSCHLTD.NS,0.7595312895250065,4,Positive
SHRIRAMFIN.NS,HCLTECH.NS,0.8255421609322223,24,Positive
SHRIRAMFIN.NS,MARUTI.NS,-0.47509518051822175,20,No Correlation
SHRIRAMFIN.NS,AMBUJACEM.NS,-0.5314624902992209,24,Negative
SHRIRAMFIN.NS,NTPC.NS,0.7636760712578031,-21,Positive
SHRIRAMFIN.NS,LT.NS,0.24725042808709433,-1,No Correlation
SHRIRAMFIN.NS,ASIANPAINT.NS,0.6323106997002035,-24,Positive
SHRIRAMFIN.NS,RECLTD.NS,0.7438433583711749,-24,Positive
SHRIRAMFIN.NS,APOLLOHOSP.NS,0.8130398888610415,18,Positive
SHRIRAMFIN.NS,PIDILITIND.NS,0.7193921602488347,-14,Positive
SHRIRAMFIN.NS,ICICIPRULI.NS,0.875286153937093,-1,Positive
SHRIRAMFIN.NS,TORNTPHARM.NS,0.8635974734504073,-1,Positive
SHRIRAMFIN.NS,PNB.NS,-0.7093942942396566,24,Negative
SHRIRAMFIN.NS,BEL.NS,0.5628619774525845,-21,Positive
SHRIRAMFIN.NS,TECHM.NS,0.7711050205990433,24,Positive
SHRIRAMFIN.NS,LICI.NS,0.4768193331717605,-23,No Correlation
SHRIRAMFIN.NS,CIPLA.NS,0.7620232325862546,-18,Positive
SHRIRAMFIN.NS,NHPC.NS,-0.5520783208783125,24,Negative
SHRIRAMFIN.NS,JIOFIN.NS,-0.5553346077615993,24,Negative
SHRIRAMFIN.NS,TATAMOTORS.NS,-0.40765729640022447,24,No Correlation
SHRIRAMFIN.NS,DABUR.NS,0.7555713466614786,-24,Positive
SHRIRAMFIN.NS,ONGC.NS,0.5494807716444585,-24,Positive
SHRIRAMFIN.NS,IRFC.NS,0.5716528211913712,-24,Positive
SHRIRAMFIN.NS,DIVISLAB.NS,0.7936318971934819,24,Positive
SHRIRAMFIN.NS,GAIL.NS,0.679944412695248,-23,Positive
SHRIRAMFIN.NS,LTIM.NS,0.8214927950233947,4,Positive
SHRIRAMFIN.NS,IRCTC.NS,-0.6634249843428811,24,Negative
SHRIRAMFIN.NS,ADANIGREEN.NS,-0.3376730438842004,24,No Correlation
SHRIRAMFIN.NS,VEDL.NS,0.6852606254036503,1,Positive
SHRIRAMFIN.NS,EICHERMOT.NS,0.5436987100176037,-24,Positive
SHRIRAMFIN.NS,CANBK.NS,-0.6688920558952997,24,Negative
SHRIRAMFIN.NS,IOC.NS,-0.3468856372585546,24,No Correlation
SHRIRAMFIN.NS,GRASIM.NS,0.8003205982403893,-1,Positive
SHRIRAMFIN.NS,TVSMOTOR.NS,0.8811726278199655,-13,Positive
SHRIRAMFIN.NS,HEROMOTOCO.NS,0.6531826801517068,-24,Positive
SHRIRAMFIN.NS,MOTHERSON.NS,0.809594532017987,-2,Positive
SHRIRAMFIN.NS,DLF.NS,-0.32363646036967864,-24,No Correlation
SHRIRAMFIN.NS,BPCL.NS,0.622032298824592,-23,Positive
SHRIRAMFIN.NS,JSWENERGY.NS,0.7493968851630017,-14,Positive
SHRIRAMFIN.NS,BAJAJ-AUTO.NS,0.7930978297246413,-12,Positive
SHRIRAMFIN.NS,M&M.NS,0.6116858602660453,1,Positive
SHRIRAMFIN.NS,TRENT.NS,0.9189268074017204,6,Positive
SHRIRAMFIN.NS,TATAPOWER.NS,0.37608605433113435,-1,No Correlation
SHRIRAMFIN.NS,ABB.NS,0.5097831094034915,-24,Positive
SHRIRAMFIN.NS,SIEMENS.NS,0.5374065151817928,-1,Positive
SHRIRAMFIN.NS,BHEL.NS,-0.5064588703001535,24,Negative
SHRIRAMFIN.NS,ULTRACEMCO.NS,0.7077722045708011,-1,Positive
SHRIRAMFIN.NS,HAVELLS.NS,0.7060598126159766,-16,Positive
SHRIRAMFIN.NS,VBL.NS,0.49726775956347213,-2,No Correlation
BAJAJHLDNG.NS,CHOLAFIN.NS,0.2716780735097735,-3,No Correlation
BAJAJHLDNG.NS,BAJAJFINSV.NS,0.5725131548591416,1,Positive
BAJAJHLDNG.NS,BAJFINANCE.NS,0.4625060358027683,-1,No Correlation
BAJAJHLDNG.NS,INDUSINDBK.NS,-0.8494419890094133,-24,Negative
BAJAJHLDNG.NS,HINDALCO.NS,-0.33252703734324396,24,No Correlation
BAJAJHLDNG.NS,COALINDIA.NS,-0.5864070929425509,24,Negative
BAJAJHLDNG.NS,HDFCBANK.NS,0.815529745934076,-11,Positive
BAJAJHLDNG.NS,SUNPHARMA.NS,0.7347561788946199,2,Positive
BAJAJHLDNG.NS,ZOMATO.NS,0.7581969641686124,-23,Positive
BAJAJHLDNG.NS,AXISBANK.NS,-0.5528952708799542,24,Negative
BAJAJHLDNG.NS,JSWSTEEL.NS,0.6614176661928921,-7,Positive
BAJAJHLDNG.NS,ICICIGI.NS,0.6004972321101922,-11,Positive
BAJAJHLDNG.NS,NAUKRI.NS,0.8444597672934784,-24,Positive
BAJAJHLDNG.NS,NESTLEIND.NS,-0.6558661566226749,24,Negative
BAJAJHLDNG.NS,RELIANCE.NS,-0.7529482164819881,24,Negative
BAJAJHLDNG.NS,INDIGO.NS,0.5115227485997534,-1,Positive
BAJAJHLDNG.NS,BHARTIARTL.NS,0.8410677112738209,12,Positive
BAJAJHLDNG.NS,ICICIBANK.NS,0.8162417747058717,-4,Positive
BAJAJHLDNG.NS,WIPRO.NS,0.9184163580371308,-1,Positive
BAJAJHLDNG.NS,POWERGRID.NS,0.36635836132100374,-24,No Correlation
BAJAJHLDNG.NS,TITAN.NS,-0.37644835897206236,-24,No Correlation
BAJAJHLDNG.NS,ATGL.NS,-0.8948539214932086,24,Negative
BAJAJHLDNG.NS,SHREECEM.NS,0.2732023050807773,1,No Correlation
BAJAJHLDNG.NS,ADANIPORTS.NS,-0.6300354298730645,24,Negative
BAJAJHLDNG.NS,SBILIFE.NS,0.14213904746096173,5,No Correlation
BAJAJHLDNG.NS,DRREDDY.NS,0.4486618589300558,-24,No Correlation
BAJAJHLDNG.NS,TATACONSUM.NS,-0.5628573573239185,24,Negative
