Stock A,Stock B,Correlation,Lag
PNB.NS,CANBK.NS,0.9414258579926239,-1
NHPC.NS,BHEL.NS,0.9371413173676973,-1
NAUKRI.NS,UNITDSPR.NS,0.9323651924002825,1
ZOMATO.NS,UNITDSPR.NS,0.931239299153263,3
TORNTPHARM.NS,TRENT.NS,0.9292120394307505,3
ATGL.NS,PNB.NS,0.9284163131066001,1
TECHM.NS,DIVISLAB.NS,0.9274628332037254,-4
ZOMATO.NS,NAUKRI.NS,0.9246855997062464,3
TECHM.NS,IRCTC.NS,-0.9239097608358369,23
UNIONBANK.NS,PNB.NS,0.9224921880886845,1
HCLTECH.NS,NHPC.NS,-0.9216200434743995,24
COALINDIA.NS,ADANIPORTS.NS,0.9214976814597096,-1
SHRIRAMFIN.NS,TRENT.NS,0.9189268074017204,6
COALINDIA.NS,ASIANPAINT.NS,0.9185036862139005,13
BAJAJHLDNG.NS,WIPRO.NS,0.9184163580371308,-1
GODREJCP.NS,DABUR.NS,0.9178469825942298,1
ATGL.NS,DIVISLAB.NS,-0.9174092451184689,-24
DMART.NS,ASIANPAINT.NS,0.9170232661381109,18
DIVISLAB.NS,IRCTC.NS,-0.9153617053559764,24
GODREJCP.NS,BAJAJ-AUTO.NS,0.9153507830504294,21
